company_name,year_founded,industries,cb_hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,ipo_status,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors,operating_status_binary,num_employees_cat,clean_name,city,state,country,match_company,match_score
Benchmark Space Systems,2017,"Aerospace, Hardware, Manufacturing","South Burlington, Vermont, United States",5401,Benchmark Space Systems is an aerospace company that offers propulsion solutions for small satellite applications.,Active,18175,Early Stage Venture,2024-05-21,Series B,Private,Less than $1M,51-100,12,55672653,"Creative Destruction Lab (CDL), LaunchCapital, FreshTracks Capital, Hula, Vermont Center for Emerging Technologies",9,1,51-100,BENCHMARK SPACE SYSTEMS,South Burlington,Vermont,United States,BENCHMARK SPACE SYSTEMS,100.0
Radian,2016,"Aerospace, Air Transportation, Logistics, Space Travel","Bellevue, Washington, United States",73101,Radian is building the worlds first truly reusable orbital aerospace vehicle.,Active,49511,Seed,2022-01-19,Seed,Private,$1M to $10M,11-50,4,27500000,"Alumni Ventures, Exor Ventures, Jackson Moses, Gaingels, HCVC",13,1,11-50,RADIAN,Bellevue,Washington,United States,RADIANT ANALYTIC SOLUTIONS,90.0
Space Foundry,2016,"Electronics, Machinery Manufacturing, Manufacturing","San Jose, California, United States",93101,Space Foundry is an electronic device manufacturing company.,Active,167215,0,2018-06-25,Grant,Private,Less than $1M,1-10,1,224830,National Science Foundation,1,1,1-10,SPACE FOUNDRY,San Jose,California,United States,SPACE FOUNDRY,100.0
Lunar Outpost,2017,"Aerospace, Information Technology, Robotics","Golden, Colorado, United States",22201,Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth.,Active,14543,Seed,2022-05-24,Seed,Private,$1M to $10M,11-50,2,12000000,"Creative Destruction Lab (CDL), Type One Ventures, Promus Ventures, Space Capital, Cathexis Ventures",6,1,11-50,LUNAR OUTPOST,Golden,Colorado,United States,LUNAR OUTPOST,100.0
Apogee Semiconductor,2017,"Aerospace, Industrial Manufacturing, Semiconductor","Plano, Texas, United States",24501,Apogee Semiconductor provides products and technologies for space and other extreme environments.,Active,44231,0,2023-04-19,Venture - Series Unknown,Private,$1M to $10M,11-50,5,15548887,National Science Foundation,1,1,11-50,APOGEE SEMICONDUCTOR,Plano,Texas,United States,APOGEE SEMICONDUCTOR,100.0
NOVI,2017,"Aerospace, Artificial Intelligence (AI), Electronics, Hardware, Image Recognition, Intelligent Systems, Machine Learning, Satellite Communication","Arlington, Virginia, United States",22201,NOVI is Leading the Transition to Space 2.0 with AI Edge Computing,Active,1116500,0,2020-01-06,Grant,Private,0,11-50,1,0,National Science Foundation,0,1,11-50,NOVI,Arlington,Virginia,United States,NOVI,100.0
Stoke Space,2019,"Aerospace, Product Design, Space Travel","Kent, Washington, United States",98030,Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Active,7807,Early Stage Venture,2023-10-05,Series B,Private,$10M to $50M,101-250,10,176199949,"University of Michigan, Y Combinator, National Science Foundation, Liquid 2 Ventures, NFX",32,1,101-250,STOKE SPACE,Kent,Washington,United States,STOKE SPACE TECHNOLOGIES,90.0
nFlux AI,2019,"Artificial Intelligence (AI), Computer Vision, Industrial, Manufacturing, Quality Assurance, Space Travel, Training","Los Angeles, California, United States",90001,Amazon funded startup that's bringing NASA technology to industries on Earth!,Active,50947,Early Stage Venture,2023-07-06,Non-equity Assistance,Private,$1M to $10M,11-50,6,10620000,"Techstars, Amazon, Plug and Play, Peachscore, K Fund",10,1,11-50,NFLUX AI,Los Angeles,California,United States,NFLUX,90.0
G-Space,2019,"Artificial Intelligence (AI), SaaS, Software","Sunnyvale, California, United States",94086,G-SPACE is a software platform that provides the next generation of materials viaa terrestrial.,Active,110892,0,2021-04-26,Venture - Series Unknown,Private,Less than $1M,11-50,2,245000,"National Science Foundation, Seraphim Space",2,1,11-50,G-SPACE,Sunnyvale,California,United States,GSPACE,92.0
Redwire,2020,"Manufacturing, Space Travel, Telecommunications","Jacksonville, Florida, United States",32201,"Redwire focuses on space commercialization, digitally engineered spacecraft, on-orbit service, assembly, and manufacturing.",Active,3984,IPO,2021-09-03,Post-IPO Equity,Public,$100M to $500M,501-1000,1,100000000,"Senvest Management, Crescent Park Management",24,1,501-1000,REDWIRE,Jacksonville,Florida,United States,REDWIRE SPACE SOLUTIONS,90.0
